coreSize	mu	nu
1.5081768897140400	62613923515.7238	0.31586679957400400
2.220765176586400	52739941528.872400	0.33088019673872100
1.9093567214839600	59804459012.0916	0.31217769143180200
2.500961718811420	56961788111.101	0.3072689707804860
0.9960421158225460	57238865614.56580	0.3288930582613560
0.5775997014398220	54873174688.16200	0.33530547724396300
2.1466172601831500	52008693583.46320	0.32087980054157200
2.67443499299815	60168977893.9012	0.3373442299869600
1.8256640764279400	48025422173.41950	0.31726680362689900
2.430496090236970	56017029164.764600	0.3264785020114440
2.968494132788040	61370042915.48980	0.3241429208499490
1.1179535241456100	53952416505.584800	0.338582394239895
1.349326466475680	49819727618.575500	0.3114202002399690
0.6839111718952640	58285885095.44210	0.32298124802233600
1.1971830032689600	50079012821.62380	0.30828829371221600
1.1167855458963900	59069140197.47390	0.33777796260292400
0.5626936054435030	53373446063.33350	0.32743818292761600
2.7705331929000200	61654087017.03060	0.3085208245330670
2.835636878313770	60623452821.277900	0.3132506203964900
1.5356156696905400	55094267041.97840	0.33756934283021900
1.3660793712977100	63175633236.862600	0.31820375047470900
1.7771606345550600	54219687499.24900	0.32378110075370500
2.559251912807230	56460431499.22990	0.30564598995958200
0.9760399817974460	51402006829.90050	0.33166299848945400
2.2478130231477000	60138028955.12420	0.3144449660980040
1.2621650572190300	48806073689.82330	0.3286749448941670
2.133875096058630	50510725832.31000	0.322852906078505
1.9433924080065500	49524600298.95930	0.33500445831405600
2.6756313164290000	49900254569.03730	0.3386716254105740
2.5690563937287900	50423274369.7043	0.31053726826167000
0.5664908200589840	48162413163.03580	0.3070054998219480
1.3985962944927200	57735725241.04090	0.33687183479731800
2.172789280140410	53218544433.80390	0.308097800111821
1.2413547131198000	61488847388.813700	0.3276237482656940
2.362897564516270	60931993303.67570	0.31538264879283900
1.0086411938488600	62789661325.80320	0.3178460023688090
2.094043271465300	55996231110.76670	0.333296182292974
1.8702639707198700	58546734779.32280	0.32201346354763200
0.7882397015310070	51435366498.0229	0.3315089300264430
2.8856637013797600	56998933080.458100	0.3128439817388020
1.5297534251610600	52130779785.70040	0.3249368651823010
1.7587136684800900	54203064268.311700	0.32113972204071600
0.93507644904089	59765293429.77690	0.3296208880176310
